CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
0000004977,2012,2,AFL,15.66,5902.00,483.00,1.04,12.55
0000004977,2012,3,AFL,17.73,6800.00,1017.00,2.16,18.44
0000004977,2013,1,AFL,19.54,6200.00,892.00,1.90,12.74
0000004977,2013,2,AFL,21.97,6044.00,889.00,1.91,22.48
0000004977,2013,3,AFL,23.57,5900.00,702.00,1.50,11.64
0000004977,2014,1,AFL,24.24,5640.00,732.00,1.60,19.57
0000004977,2014,2,AFL,24.08,5838.00,810.00,1.79,21.21
0000004977,2014,3,AFL,22.68,5700.00,706.00,1.56,12.02
0000004977,2015,1,AFL,25.24,5207.00,663.00,1.51,13.03
0000004977,2015,2,AFL,24.68,5300.00,573.00,1.32,12.28
0000004977,2015,3,AFL,23.21,5114.00,567.00,1.32,13.14
0000004977,2016,1,AFL,25.55,5353.00,731.00,1.74,21.86
0000004977,2016,2,AFL,29.38,5437.00,548.00,1.33,15.33
0000004977,2016,3,AFL,29.42,5716.00,629.00,1.54,13.10
0000004977,2017,1,AFL,30.01,5330.00,592.00,1.47,20.24
0000004977,2017,2,AFL,32.38,5428.00,713.00,1.80,19.25
0000004977,2017,3,AFL,34.11,5506.00,716.00,1.81,19.53
0000004977,2018,1,AFL,37.09,5464.00,717.00,0.92,13.12
0000004977,2018,2,AFL,36.67,5589.00,832.00,1.08,20.23
0000004977,2018,3,AFL,40.35,5600.00,845.00,1.09,15.09
0000004977,2019,1,AFL,43.34,5657.00,928.00,1.23,21.95
0000004977,2019,2,AFL,47.76,5511.00,817.00,1.10,20.13
0000004977,2019,3,AFL,45.83,5500.00,777.00,1.04,14.13
0000004977,2020,1,AFL,30.30,5162.00,566.00,0.78,13.94
0000004977,2020,2,AFL,32.14,5407.00,805.00,1.12,14.88
0000004977,2020,3,AFL,32.67,5665.00,2456.00,3.45,20.37
0000004977,2021,1,AFL,46.63,5900.00,1300.00,1.87,22.03
0000004977,2021,2,AFL,49.18,5600.00,1100.00,1.62,19.64
0000004977,2021,3,AFL,48.05,5200.00,888.00,1.32,24.00
0000004977,2022,1,AFL,60.07,5300.00,1000.00,1.58,21.57
0000004977,2022,2,AFL,51.99,5400.00,1388.00,2.17,31.50
0000004977,2022,3,AFL,53.15,4800.00,1600.00,2.53,33.33
0000004977,2023,1,AFL,61.74,4800.00,1200.00,1.94,25.00
0000004977,2023,2,AFL,67.22,5172.00,1634.00,2.71,31.59
0000004977,2023,3,AFL,74.33,4950.00,1569.00,2.64,36.46
0000004977,2024,1,AFL,84.11,5400.00,1900.00,3.25,35.19
0000004977,2024,2,AFL,87.99,5100.00,1800.00,3.10,35.29
0000004977,2024,3,AFL,110.68,2949.00,-93.00,-0.17,3.12
0000006201,2000,2,AAL,,5011.00,321.00,2.15,10.32
0000006201,2001,1,AAL,,4760.00,-43.00,-0.28,0.36
0000006201,2001,2,AAL,,5583.00,-507.00,-3.29,-13.61
0000006201,2001,3,AAL,,4816.00,-414.00,-2.68,-11.58
0000006201,2002,1,AAL,,4136.00,-575.00,-3.71,-17.63
0000006201,2002,2,AAL,,4479.00,-495.00,-3.19,-13.42
0000006201,2002,3,AAL,,4494.00,-924.00,-5.93,-29.41
0000006201,2003,1,AAL,,4120.00,-1043.00,-6.68,-21.07
0000006201,2003,2,AAL,,4324.00,-75.00,-0.47,2.01
0000006201,2003,3,AAL,,4605.00,1.00,0.00,3.58
0000006201,2004,1,AAL,,4512.00,-166.00,-1.03,0.93
0000006201,2004,2,AAL,,4830.00,6.00,0.04,4.06
0000006201,2004,3,AAL,,4762.00,-214.00,-1.33,-0.57
0000006201,2005,1,AAL,,4750.00,-162.00,-1.00,0.48
0000006201,2005,2,AAL,,5309.00,58.00,0.35,4.32
0000006201,2005,3,AAL,19.81,5485.00,-153.00,-0.93,0.71
0000006201,2006,1,AAL,37.71,5344.00,-92.00,-0.49,2.15
0000006201,2006,2,AAL,47.65,5975.00,291.00,1.44,7.97
0000006201,2006,3,AAL,41.79,5847.00,15.00,0.07,4.85
0000006201,2007,1,AAL,42.88,5427.00,81.00,0.35,4.57
0000006201,2007,2,AAL,28.54,5879.00,317.00,1.28,7.94
0000006201,2007,3,AAL,24.75,5946.00,175.00,0.70,5.36
0000006201,2008,1,AAL,8.40,5697.00,-328.00,-1.32,-3.28
