CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
1800,2004,2,ABT,12.03,4703.05,634.26,0.41,16.93
1800,2004,3,ABT,12.58,4681.67,804.08,0.52,21.85
1800,2005,1,ABT,14.01,5382.68,837.89,0.54,21.11
1800,2005,2,ABT,14.81,5523.8,877.05,0.56,19.8
1800,2005,3,ABT,12.89,5384.0,680.71,0.44,15.43
1800,2006,1,ABT,13.08,5183.46,864.88,0.57,20.52
1800,2006,2,ABT,13.52,5501.12,612.24,0.4,9.87
1800,2006,3,ABT,15.16,5573.77,715.84,0.47,12.37
1800,2007,1,ABT,17.63,5290.28,697.54,0.45,16.6
1800,2007,2,ABT,17.02,6370.62,988.74,0.64,18.62
1800,2007,3,ABT,17.14,6376.71,717.01,0.46,14.53
1800,2008,1,ABT,17.84,6765.6,937.87,0.61,16.96
1800,2008,2,ABT,17.25,7314.02,1322.01,0.86,19.24
1800,2008,3,ABT,18.87,7497.66,1084.61,0.7,18.62
1800,2009,1,ABT,15.86,6718.37,1438.64,0.93,15.8
1800,2009,2,ABT,15.78,7494.88,1288.11,0.83,22.3
1800,2009,3,ABT,16.74,7761.34,1480.37,0.95,21.13
1800,2010,1,ABT,18.1,7698.35,1003.02,0.65,19.1
1800,2010,2,ABT,16.21,8826.01,1291.65,0.83,18.19
1800,2010,3,ABT,18.27,8674.51,890.66,0.58,13.6
1800,2011,1,ABT,17.46,9040.85,863.82,0.56,14.38
1800,2011,2,ABT,18.91,9616.29,1942.78,1.24,18.45
1800,2011,3,ABT,18.54,9816.67,303.18,0.19,6.06
1800,2012,1,ABT,22.62,9456.63,1242.12,0.79,16.67
1800,2012,2,ABT,24.0,9807.1,1724.61,1.09,21.46
1800,2012,3,ABT,25.72,9773.24,1942.81,1.22,20.37
1800,2013,1,ABT,27.93,5377.9,544.66,0.35,11.44
1800,2013,2,ABT,27.69,5446.03,476.06,0.3,11.53
1800,2013,3,ABT,26.45,5369.14,965.73,0.62,11.74
1800,2014,1,ABT,31.0,5244.0,375.0,0.24,8.6
1800,2014,2,ABT,33.12,5551.0,466.0,0.3,13.71
1800,2014,3,ABT,33.86,5104.0,538.0,0.36,14.32
1800,2015,1,ABT,38.12,4897.0,2292.0,1.52,12.46
1800,2015,2,ABT,40.58,5170.0,784.0,0.52,14.1
1800,2015,3,ABT,33.42,5150.0,580.0,0.39,13.83
1800,2016,1,ABT,35.18,4885.0,316.0,0.21,10.73
1800,2016,2,ABT,33.26,5333.0,615.0,0.41,15.31
1800,2016,3,ABT,36.0,5302.0,-329.0,-0.22,16.91
1800,2017,1,ABT,38.29,6335.0,419.0,0.24,-3.19
1800,2017,2,ABT,42.17,6637.0,283.0,0.16,6.43
1800,2017,3,ABT,46.55,6829.0,603.0,0.34,11.86
1800,2018,1,ABT,52.78,7390.0,418.0,0.24,8.23
1800,2018,2,ABT,53.98,7767.0,733.0,0.42,11.35
1800,2018,3,ABT,65.22,7656.0,563.0,0.32,13.0
1800,2019,1,ABT,71.69,7535.0,672.0,0.38,9.81
1800,2019,2,ABT,75.73,7979.0,1006.0,0.57,15.12
1800,2019,3,ABT,75.63,8076.0,960.0,0.54,14.82
1800,2020,1,ABT,71.92,7726.0,564.0,0.32,9.82
1800,2020,2,ABT,83.68,7328.0,537.0,0.3,9.17
1800,2020,3,ABT,99.99,8853.0,1232.0,0.69,16.88
1800,2021,1,ABT,110.92,10456.0,1793.0,1.0,20.16
1800,2021,2,ABT,107.69,10223.0,1189.0,0.67,13.61
1800,2021,3,ABT,110.15,10928.0,2100.0,1.18,23.3
1800,2022,1,ABT,111.18,11895.0,2447.0,1.38,24.48
1800,2022,2,ABT,102.47,11257.0,2018.0,1.15,21.1
1800,2022,3,ABT,91.66,10410.0,1435.0,0.82,17.01
1800,2023,1,ABT,96.81,9747.0,1318.0,0.75,15.47
1800,2023,2,ABT,104.75,9978.0,1375.0,0.79,15.45
1800,2023,3,ABT,93.51,10143.0,1436.0,0.82,16.23
1800,2024,1,ABT,110.88,9964.0,1225.0,0.7,13.91
1800,2024,2,ABT,101.87,10377.0,1302.0,0.74,16.08
1800,2024,3,ABT,112.36,10635.0,1646.0,0.94,17.48
796343,1999,2,ADBE,10.19,245.89,44.96,0.74,21.0
796343,1999,3,ADBE,14.08,260.88,57.16,0.94,27.59
796343,2000,1,ADBE,27.64,282.23,64.57,0.54,31.55
796343,2000,2,ADBE,32.28,300.09,65.78,0.55,29.84
796343,2000,3,ADBE,38.56,328.87,78.27,0.66,32.2
796343,2001,1,ADBE,17.38,328.97,69.76,0.29,35.1
796343,2001,2,ADBE,23.37,344.09,61.31,0.26,34.25
796343,2001,3,ADBE,11.93,292.12,40.29,0.17,31.78
796343,2002,1,ADBE,20.06,267.9,49.81,0.21,23.8
796343,2002,2,ADBE,14.2,317.36,54.3,0.23,28.63
796343,2002,3,ADBE,9.52,284.88,47.2,0.2,24.38
796343,2003,1,ADBE,15.38,296.9,54.23,0.23,27.13
796343,2003,2,ADBE,16.0,320.15,64.25,0.28,28.57
796343,2003,3,ADBE,19.66,319.12,64.52,0.28,28.88
796343,2004,1,ADBE,19.63,423.28,123.04,0.52,38.57
796343,2004,2,ADBE,23.23,410.09,109.4,0.46,34.57
796343,2004,3,ADBE,24.72,403.71,104.46,0.44,34.73
796343,2005,1,ADBE,33.58,472.88,151.89,0.62,36.1
796343,2005,2,ADBE,28.61,496.03,149.78,0.31,36.73
796343,2005,3,ADBE,29.85,487.04,144.92,0.29,37.68
